,pcfg_jed,pcfg_odz,pcfg_prec,pcfg_f1,pcfg_isti,cnn_jed,cnn_odz,cnn_prec,cnn_f1,cnn_isti
tdbD00003754,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00003761,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003767,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00003781,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00003794,0.7236842105263158,0.5714285714285714,0.5714285714285714,0.5714285714285714,False,1.0,1.0,1.0,1.0,True
tdbD00003805,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003821,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003830,0.6944444444444444,0.6,0.5217391304347826,0.5581395348837209,False,1.0,1.0,1.0,1.0,True
tdbD00003855,0.8888888888888888,0.7619047619047619,0.7272727272727273,0.7441860465116279,False,1.0,1.0,1.0,1.0,True
tdbD00003862,0.8888888888888888,0.7619047619047619,0.7272727272727273,0.7441860465116279,False,1.0,1.0,1.0,1.0,True
tdbD00003881,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003890,0.704225352112676,0.5714285714285714,0.5,0.5333333333333333,False,1.0,1.0,1.0,1.0,True
tdbD00003901,0.8356164383561644,0.7619047619047619,0.6666666666666666,0.7111111111111111,False,1.0,1.0,1.0,1.0,True
tdbD00003904,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00003909,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003915,0.7837837837837838,0.8095238095238095,0.8095238095238095,0.8095238095238095,False,1.0,1.0,1.0,1.0,True
tdbD00003922,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
